key,option,VN,CN,TH
Add detailed notes...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Thêm ghi chú chi tiết...,添加詳細備註...,เพิ่มบันทึกรายละเอียดเพิ่มเติม...
Search Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_search",Tìm kiếm Lịch giám sát,搜尋監督排程,ค้นหาตารางการตรวจสอบ
My Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_search",Lịch của tôi,我的排程,ปฏิทินของฉัน
Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__name",Tiêu đề,標題,ชื่อ
Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__store_id",Cửa hàng,門店,ร้านค้า
Supervisor,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__user_id",Nhân viên giám sát,監督人員,หัวหน้างาน
Supervision Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__date",Thời gian giám sát,監督時間,เวลาตรวจสอบ
Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__state",Trạng thái,狀態,สถานะ
Notes,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__note",Ghi chú,備註,บันทึก
Supervision Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__inspection_id",Phiếu khảo sát,監督表,แบบฟอร์มสำรวจ
Supervision Sheet Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__inspection_count",Số phiếu khảo sát,監督表編號,จำนวนการตอบแบบสอบถาม
Latest Supervision Sheet,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__latest_inspection_id",Phiếu khảo sát mới nhất,最新監督表,แบบฟอร์มสำรวจล่าสุด
Latest Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__latest_total_score",Điểm mới nhất,最新分數,ข่าวล่าสุด
Latest Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__latest_grade_id",Loại đánh giá mới nhất,最新評核,ประเภทรีวิวล่าสุด
Address,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__address",Địa chỉ,地址,ที่อยู่
Phone Number,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__phone",Số điện thoại,電話號碼,หมายเลขโทรศัพท์
Google Maps Location,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__google_map_url",Vị trí Google Maps,谷歌地圖位置,ตำแหน่งบน Google Maps
Draft,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_supervision_schedule__state__draft",Nháp,草稿,ตี
In Progress,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_supervision_schedule__state__in_progress",Đang thực hiện,進行中,กำลังดำเนินการ
Need Remediation,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_supervision_schedule__state__need_remediation",Cần khắc phục,待改善,ต้องแก้ไข
Done,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_supervision_schedule__state__done",Hoàn thành,已完成,สมบูรณ์
Cancelled,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_supervision_schedule__state__cancel",Đã hủy,已取消,ยกเลิก
Supervision Sheets,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_tree",Phiếu khảo sát,監督表,แบบฟอร์มสำรวจ
Franchise Store Supervision Sheet,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Phiếu khảo sát đánh giá cửa hàng nhượng quyền,加盟門店監督表,แบบฟอร์มสำรวจประเมินผลร้านแฟรนไชส์
Total Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tổng điểm,總分,คะแนนรวม
Start Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bắt đầu thực hiện,開始執行,เริ่มดำเนินการ
Need Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Cần khắc phục,待改善,ต้องแก้ไข
Complete,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hoàn thành,已完成,สมบูรณ์
Cancel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hủy,取消,ยกเลิก
Set to Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đặt về Nháp,設為草稿,คำสั่งให้ร่าง
Inspections,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Khảo sát,評核,สำรวจ
Supervision Sheet Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tên phiếu khảo sát,評核表名稱,ชื่อแบบฟอร์มสำรวจ
e.g. July Regular Supervision,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Mã phiếu tự động sinh (VD: PGS-HN_ST042-0001)...,自動建立監督表編號（例如：PGS-HN_ST042-0001）...,รหัสตั๋วที่สร้างขึ้นโดยอัตโนมัติ (เช่น PGS-HN_ST042-0001)...
Group Store Info,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",THÔNG TIN KHẢO SÁT & CỬA HÀNG,評核與門店資訊,ข้อมูลแบบสำรวจและร้านค้า
Group Time History,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",THỜI GIAN & LỊCH SỬ,時間與歷史紀錄,เวลาและประวัติศาสตร์
Group Employee Survey,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KHẢO SÁT NHÂN VIÊN,員工評核,แบบสำรวจพนักงาน
Employee Name,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tên nhân viên tại cửa hàng...,店員姓名...,ชื่อพนักงานในร้าน...
Tenure,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Số tháng / năm làm việc...,工作月數／年資...,จำนวนเดือน/ปีที่ทำงาน...
Group Next Plan,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KẾ HOẠCH TIẾP THEO,後續計畫,แผนต่อไป
Next Due Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Lần kiểm tra kế tiếp,下一次監督,การทดสอบครั้งต่อไป
Title Create Next Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tạo / Mở Lịch giám sát tiếp theo,建立／開啟下一次監督排程,สร้าง/เปิดตารางการตรวจสอบถัดไป
Group Component Scores,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",ĐIỂM THÀNH PHẦN,分項分數,คะแนนองค์ประกอบ
Group Result Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",KẾT QUẢ & XẾP LOẠI,結果與評等,ผลการแข่งขันและอันดับ
Page Checklist,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Danh sách Tiêu chí Checklist,Checklist 評核項目清單,รายการตรวจสอบเกณฑ์
Content Snapshot,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nội dung kiểm tra checklist,Checklist 檢查內容,เนื้อหาในรายการตรวจสอบ
Is Pass,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đánh giá,評核,ประเมิน
Previous Result,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đợt trước,上一次,ก่อนหน้า
Title View Prev Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xem chi tiết phiếu khảo sát đợt trước,查看上一次監督表詳細內容,ดูรายละเอียดของแบบสำรวจครั้งก่อน
Violation Note,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú vi pham...,違規備註...,หนังสือแจ้งเตือนการฝ่าฝืน...
Evidence Image,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bằng chứng vi phạm,違規證明,หลักฐานการละเมิด
Remediation Note,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ghi chú khắc phục của cửa hàng...,門店改善備註...,หมายเหตุการแก้ไขปัญหาจากทางร้าน...
Remediation Image,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Ảnh sau khắc phục,改善後照片,ภาพถ่ายหลังการปรับแต่ง
Page Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Bài kiểm tra nhân viên,員工測驗,การทดสอบพนักงาน
Submit Exam,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nộp bài kiểm tra,提交測驗,ส่งแบบทดสอบ
Quest Code,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Mã câu hỏi,題目編號,รหัสคำถาม
Quest Content,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Nội dung câu hỏi,題目內容,เนื้อหาคำถาม
Answer,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",👉 Nhập câu trả lời của nhân viên tại đây...,👉 請在此輸入員工答案...,👉 กรุณาป้อนคำตอบของพนักงานของคุณที่นี่...
Point,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Điểm,分數,จุด
Page Confirmation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Xác nhận phiếu,確認單子,ยืนยันแบบฟอร์ม
Group System Confirmer,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Người xác nhận hệ thống,系統確認人員,ตัวตรวจสอบระบบ
Group Manager Confirmer,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Quản lý cửa hàng xác nhận,門店管理員確認,ผู้จัดการร้านยืนยันแล้ว
Search Title,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Tìm kiếm Phiếu khảo sát,搜尋監督表,ค้นหาแบบฟอร์มสำรวจ
Filter My Inspection,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Phiếu của tôi,我的監督表,ตั๋วของฉัน
Filter Planned Date,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Thời gian kiểm tra,檢查時間,เวลาสอบ
Filter Draft,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đang chờ (Draft),待處理（草稿）,รอ (ฉบับร่าง)
Filter In Progress,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đang thực hiện,進行中,กำลังดำเนินการ
Filter Need Remediation,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Cần khắc phục,待改善,ต้องแก้ไข
Filter Done,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Hoàn thành,已完成,สมบูรณ์
Filter Cancel,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_form",Đã hủy,已取消,ยกเลิก
Grade A,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại A,A級,เกรดเอ
Grade B,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại B,B級,เกรด บี
Grade C,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại C,C級,เกรดซี
Grade D,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại D,D級,เกรด D
Store,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Cửa hàng,門店,ร้านค้า
Inspector,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Người kiểm tra,檢查人員,ผู้ตรวจสอบ
Status,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Trạng thái,狀態,สถานะ
Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Xếp loại,評等,อันดับ
Time (By Month),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Thời gian (Theo Tháng),時間（按月份）,ระยะเวลา (รายเดือน)
Time (By Day),"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_inspection_search",Thời gian (Theo Ngày),時間（按日期）,เวลา (ต่อวัน)
Pass,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__result__pass",Đạt,合格,รับ
Fail,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__result__fail",Không đạt,不合格,ล้มเหลว
Need Remediation,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__remediation_state__need_remediation",Cần phản hồi,待回覆,ต้องการรับฟังความคิดเห็น
Remediated,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__remediation_state__remediated",Đã phản hồi,已回覆,ได้รับคำตอบแล้ว
Done,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__remediation_state__done",Đã duyệt (Hoàn thành),已核准（完成）,อนุมัติแล้ว (เสร็จสมบูรณ์)
Pass,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__previous_result__pass",Đạt,合格,รับ
Fail,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection_line__previous_result__fail",Không đạt,不合格,ล้มเหลว
Submit Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__submit_date",Ngày nộp,提交日期,วันที่ส่งเอกสาร
Confirm Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirm_date",Ngày xác nhận,確認日期,วันที่ยืนยัน
Checklist Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__checklist_score",Điểm checklist,Checklist 分數,คะแนนเช็คลิสต์
Exam Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_score",Điểm kiểm tra,測驗分數,ด่าน
Next Due Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__next_due_date",Lần kiểm tra kế tiếp,下一次檢查,การทดสอบครั้งต่อไป
Next Schedule Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__next_schedule_id",Lịch giám sát tiếp theo,下一次監督排程,ตารางการตรวจสอบครั้งต่อไป
Tenure,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__tenure",Thâm niên,年資,ความอาวุโส
Video,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__video",Video,視頻,วิดีโอ
Schedule Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__schedule_id",Lịch giám sát,監督排程,ตารางการตรวจสอบ
Previous Inspection Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__previous_inspection_id",Phiếu khảo sát trước,上一次監督表,แบบฟอร์มสำรวจเบื้องต้น
Line Ids,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__line_ids",Chi tiết tiêu chí,評核項目詳細內容,รายละเอียดเกณฑ์
Exam Line Ids,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_line_ids",Chi tiết bài kiểm tra,測驗詳細內容,รายละเอียดการทดสอบ
Confirmed User Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_user_id",Người xác nhận hệ thống,系統確認人員,ตัวตรวจสอบระบบ
Confirmed Member Id,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_member_id",Quản lý cửa hàng xác nhận,門店管理員確認,ผู้จัดการร้านยืนยันแล้ว
Sequence,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__sequence",Thứ tự,順序,คำสั่ง
Display Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__display_type",Phân loại,分類,จัดประเภท
Content Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__content_snapshot",Nội dung kiểm tra checklist,Checklist 檢查內容,เนื้อหาในรายการตรวจสอบ
Deduction Score Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__deduction_score_snapshot",Điểm trừ,扣分,ข้อเสีย
Criterion Type Snapshot,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection_line__criterion_type_snapshot",Loại tiêu chí,評核項目類型,ประเภทของเกณฑ์
